Item Name,Quantity,Link,Price of component(SAR,Price Of Component (USD,
Wheels Pack,1,https://www.amazon.sa/-/en/Briny-River-Compatible-Fighter-Control/dp/B0F3D7LJYL/ref=sr_1_5?adgrpid=161738681693&dib=eyJ2IjoiMSJ9.hKliGSOljdVecygevHDI9USX9ZNHU0sRngtyLuU1Xecmj5hY6ZfcfyNyGn6V39MZ_rWPN1qIRKZ-Ss4cKS16jhsnk-qq5nH4bf7iSIKWt8BvHuBKUSbzQXcVbXd11G-0lbBQEzy9nCDGtcYent1yo00EZ3fZ378vAYZNmsPshKC9JCNuIHmR497oI5P2x0p5mlE7_NYo-JS5RDaMiWl8ZHv5skB2u4d701qoMsRAhDA7lHv268z4H4MBwR7way2MT9t_5kBKfGUbD5S14a_sfEuURlYAylnwGvUWmWhLBMQ.qxc2055moagHojbsKvS5VBpVAMDtLHnHeQQRr9rcRDI&dib_tag=se&hvadid=698234311417&hvdev=c&hvexpln=0&hvlocphy=1012089&hvnetw=g&hvocijid=7370902022275476384--&hvqmt=e&hvrand=7370902022275476384&hvtargid=kwd-319797249354&hydadcr=5305_2388209&keywords=rc+plane+wheels&mcid=30842961783c3c5099174862319ab615&qid=1786196206&sr=8-5,78,21.06,
Servo extension cable,1,https://www.amazon.sa/20Pieces-Extension-Cables-Compatible-Airplanes/dp/B0FHDK9FZM/ref=sr_1_1_sspa?crid=2OJZVCL84XF5S&dib=eyJ2IjoiMSJ9._hajcOfelBSb_PBJ3IH7SG7ybOvaSCSVe9h0rHbvLLGbOpYWch8WbRzOqUr8fCR7Xf8BnmziruPFKeUMXdebsJtk_dCYjPsepjWvSlPXYVMWlt-2dc123uBooysk6xWeyNSQ2zP5c_UTEPHvgE9JpZGjWLzilTC4hG6Ji_pqphvuJ_dmmVG2sK0IaXZH71J3pCsiKcYU9mixc746d0vYvxUTMKED5XUDFHWaCPfFCAKBTcx2hO9GBr_M3HjY7HL9Yi6Omar4keurEsDeCUC4UwLSLqGMrGbFwlce9_U57dU.yUmHaaNXu2PG-BCjCSuQeYp_ZZ44PSOe9E8VbJZKEZc&dib_tag=se&keywords=servo+extension+cable&qid=1786196265&sprefix=servo+extension+cabl%2Caps%2C245&sr=8-1-spons&aref=CR9iswAo3Z&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,59,15.93,
Glue Gun,1,https://www.amazon.sa/Crafting-Sticks-Anti-Scald-Repairs-Plastic/dp/B0G3WBR4JF/ref=sr_1_1_sspa?crid=26LSEVFCVYQVK&dib=eyJ2IjoiMSJ9.jWfWJGfEVqrMjZZbjp3mgaZJPYDrYn3EcAEfH7Ln54AABOVl_vWgQHCua8Edkob1zDExgtPc3YB8SKajI-_v1VHtSudx657jmcJddMGJ61B2JSEm1Awq9yCKTyHCN1YhO89ocGCIW12EE3uE7wYRlIGhWrQR0VbMiMf40Rg4PlbbfoLzCz0rd6sRl4L1SHUIUMu8LfuMFo9XewIhpyq6-vxz0OtVwdZv3EfGOFeHdb4DZTWZHz65H7-z_D_V6K8ZZqQSg2z08iYIHEvc1m2BCFr-a_XqrETMlqheEcT-Cow.TP01AwQemZfjGCOtg_-tOffBeBlVifCjrkZPtGTM3XA&dib_tag=se&keywords=hot+glue+gun+with+40+glue+sticks&qid=1786196472&sprefix=hot+glue+gun+with+40+glue+stic%2Caps%2C228&sr=8-1-spons&aref=cmSRnMBgsD&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,49,13.23,
Knife,1,https://www.amazon.sa/-/en/TERRIFI-Precision-Architecture-Modeling-Scrapbooking/dp/B0BW99P57J/ref=sr_1_9?crid=3R8C4G78ESX4A&dib=eyJ2IjoiMSJ9.nmKwxF41Dtmea1y3XvQcWStH3I6HK8zOfkU5gii_YJIHhk2yuvSUnSFg-GCIE73JRZuQhBMtf0RWK7QrTHrQSRJbaHnodSxT6E-LUJp9_kkOtjZxo5JadPWmpQoj09a6F-dvPHG4r1bBoGF1tcrcyt2t_hIaJb1BaZwOvg_6CD18jPXHrgHGZoaxbxTlvCrYoZcs_8wazxkOYMMTCQSOoIDVBnfcBaGHWt7Z1OnofaBi4u4lhSNvASncrb6IW8FVyqdFI6txN4q8u1BddM38J3dYh3AHLsKHq_mxXkaZdH8.pSGRte9w_uujBOZBswZxrVUE-0FaPrl7IrClTaCBnb4&dib_tag=se&keywords=craft+kit+with+craft+knife&qid=1786196519&sprefix=craft+kit+with+craft+kn%2Caps%2C228&sr=8-9,45,12.15,
Soldering Iron kit,1,https://www.amazon.sa/-/en/Premium-Soldering-Adjustable-Temperature-200-450%E2%84%83/dp/B0B3D96MN6/ref=sr_1_5?crid=2XKG80IUFXZ30&dib=eyJ2IjoiMSJ9.1Ybt2Cn1sWuhpQvn6Mr4EqHOZWeIjKQ6DyxlS2Jok8WQMwhLsa1UOUDrJpg1odjtZgHQT27-JEBhKFY2h8mzHji4aPOvurxpCisH7jmEhpB9CIqFVPENzfHCqfsdUO2VWoCoNG3296fi59TbJChPK9RhN-t1s5d9ABXjsIvGI6j_TSoqZxajg2BvwW3bglYtCqOVlX9Cx7WeTbA2EHOq0QUlsvHBYb3p6B5QQ3vNtZJiydssyll_dPiWHixJAFuSHGZR2nmrt77M-fuV3qfPaDMNDtpjuk1yAOncqeN5ppQ.hbX8OuL7goM4lWKfEd8v6VKEHPLYeul8KCmk-fXrQ94&dib_tag=se&keywords=soldering+kit+wire&qid=1786196585&sprefix=soldering+kit+wi%2Caps%2C249&sr=8-5,106,28.62,
Velcro,1,https://www.amazon.sa/YRQX-Self-Adhesive-Double-Sided-Velcro-Reusable/dp/B0FDQGW72L/ref=sr_1_3_sspa?crid=2CMAZ38YLFNQO&dib=eyJ2IjoiMSJ9.jeJ_3EuLLrADHFwD6nAlSZQZAoRxrtErtDYmus79v8YfhDarEWoUoCZGXTzzMFWISpRKbacZFvNocYETEDgMBo7O2JyI7MDw2DYlN0ou4W4XP8sGXDoSIx7qT60EfsF7LE_dfRb-j5SX2Q1J00qADoahjFqm5eOJ_HjD3n2JF_gvq3pdiydwB4GIkqhp-KPk43K-PESEIzHdpyNcyGozETiH4g8qQwuLIBX2qzkVvnJBTBeymocrTY-WtjaQYAmeRr0XXZ4wNJ6BH0I7Q-DNnFEHZf_K5dguCNcD45D2RLA.-oUKL2K0bwOC66bsiBXaBhKcVM_R6c3KoUHSI8Q2p0Y&dib_tag=se&keywords=velcro+tape&qid=1786196640&sprefix=velcro+tape%2Caps%2C229&sr=8-3-spons&aref=ldJrjfdlAq&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,42,11.34,
Tape,1,https://www.amazon.sa/-/en/MARKQ-Adhesive-Packing-Kitchen-Outdoor/dp/B0B94PYGSD/ref=sr_1_14?crid=H00L9C10YNYE&dib=eyJ2IjoiMSJ9.yrQgFT89cOtGIbO1oAVv2Qwk61C9QiH0VrByAlzcW7gVSrEmI2kgk7BuhIWNl_3jpcZJ_Pu8AxZdYvd1O-MYI6aqJlgs7zotucCptWUVufeU2yjChraqnIxRnxwiodpmp7dlLImMalBbT6E7odSrQ0AW-zY2ZfohIpxbIQGxaigXZKCvXMXX-sMzvIMpSSU8qX05hgVoPIcpDYmW0iN5k53m3Po67XKDMRvOVEWnecmqoqR-Ke-zgcm3aOFdJh8n9vaPVtPpptWpkz7qSkHF_xX7JRHo_ttZgvqsG4TDJyU.Ls1yTZq7gceLO_WGGIFZYE5LZ266PHup6LFGyHXY1XM&dib_tag=se&keywords=heavy+duty+hobby+tape&qid=1786196714&sprefix=heavy+duty+hobby+tap%2Caps%2C229&sr=8-14,28,7.56,
Camera,1,https://www.noon.com/saudi-en/mini-sq11-1080p-hd-sports-dv-camera-portable-night-vision-with-motion-detection-wide-angle-for-home-and-office-supported-32gb-max-tf-card/ZE291104C0869612E7EB8Z/p/?utm_source=c1000087L&utm_medium=cpc&utm_campaign=C1000184884N_sa_ar_camera_1072026_noon_both_c1000087l_open_plassc_&gad_source=1&gad_campaignid=17338773481&gclid=Cj0KCQjwp9vTBhCWARIsANaUrjvu4BOkBv0kQr81QcHLKTX5u5sNkw7yM-KT4fWGsKWWXteFLcXcOvMaAsM0EALw_wcB,42,11.34,
SD card,1,https://www.amazon.sa/Lexar-microSDXC-Adapter-Smartphones-LMS0633064G-BNNAA/dp/B0BX9BH17W/ref=sr_1_1_sspa?adgrpid=101015383846&dib=eyJ2IjoiMSJ9.E5gq0hBHuUCKvQMWC4EzHOcPOTmPVwVLwWu6jUfmEjbDzduFewblZm0tH-0sEWf8ezQR-uK6VgHSjMtbiev8ICTejaC_GrwryREP4SDuuYmvuahPsaJePuXBvkvdBB0Zto8izaDwC9XfGPyf2n87QZBMb4aon2XyIvc2QqVu3ls8ooMkEOqwc_DcERLUtCf_tHxAq9xTuar6oMKsC68wPbnLDBvjYga-NNhItV4pW3-mRQz0b19Cj4mkkdOJ5P5kPK237hbNslEeFZaMMfXnGu-yMUbyyWaPc1JaZ99cxeU.zgafVe0BGwatHO5qSe7BMKRSLe8KChXs_TltwkUnd3I&dib_tag=se&hvadid=669651447529&hvdev=c&hvexpln=0&hvlocphy=1012089&hvnetw=g&hvocijid=16715146292021433821--&hvqmt=e&hvrand=16715146292021433821&hvtargid=kwd-1899823465&hydadcr=9816_2295321&keywords=microsd%2Bcard&mcid=82407b037ead308ba00742fc1614792e&qid=1786198073&sr=8-1-spons&aref=S14aCUy5LU&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,89,24.03,
,,,,,
Total(SAR):,1837.5,,,,
Total:USD:,496.125,,,,
